"create_time","id","travel_date","departure_city","departure_city_name","departure_time","arrival_city","arrival_city_name","arrival_time","duration","stopover","stopover_duration","min_price","min_price_tax","min_price_discount","min_business_price","min_business_price_tax","departure_airport","departure_airport_name","departure_terminal","arrival_airport","arrival_airport_name","arrival_terminal","seat_left","default_cabin","segment_list","economy_policies","business_policies","flights_info","data_source","task_id"
"16/2/2025 21:02:10.595","1891110825497284611","26/2/2025 00:00:00","HKG","香港","2025-02-26 12:30:00","IST","伊斯坦堡","2025-02-27 08:10:00","1480","上海,","145,","3390","817",,,,"HKG","","T1","IST","",,"9","B,V",,,,"香港:MU502,上海:MU703,","trip",
"16/2/2025 21:02:10.595","1891110825497284612","26/2/2025 00:00:00","HKG","香港","2025-02-26 00:55:00","IST","伊斯坦堡","2025-02-26 20:15:00","1460","首爾,","205,","6393","984",,,,"HKG","","T1","IST","",,"9","E,E",,,,"香港:KE178,首爾:KE955,","trip",
"16/2/2025 21:02:10.595","1891110825497284613","26/2/2025 00:00:00","HKG","香港","2025-02-26 08:30:00","IST","伊斯坦堡","2025-02-27 06:20:00","1610","北京,","195,","3399","1932",,,,"HKG","","T1","IST","",,"9","Z,V",,,,"香港:CZ5010,北京:TK089,","trip",
"16/2/2025 21:02:10.597","1891110825505673218","26/2/2025 00:00:00","HKG","香港","2025-02-26 21:00:00","IST","伊斯坦堡","2025-02-27 21:55:00","1795","杜拜,","715,","9662","1678",,,,"HKG","","T1","IST","",,"3","Y,Y",,,,"香港:EK385,杜拜:EK117,","trip",
"16/2/2025 21:02:10.597","1891110825505673219","26/2/2025 00:00:00","HKG","香港","2025-02-26 15:00:00","IST","伊斯坦堡","2025-02-27 08:10:00","1330","上海,","160,","4352","1731",,,,"HKG","","T1","IST","",,"9","Q,Z",,,,"香港:CX380,上海:MU703,","trip",
"16/2/2025 21:02:10.597","1891110825505673220","26/2/2025 00:00:00","HKG","香港","2025-02-26 08:30:00","IST","伊斯坦堡","2025-02-27 06:20:00","1610","北京,","190,","3537","1964",,,,"HKG","","T1","IST","",,"9","P,V",,,,"香港:CA118,北京:TK089,","trip",
"16/2/2025 21:02:10.598","1891110825509867521","26/2/2025 00:00:00","HKG","香港","2025-02-26 13:20:00","IST","伊斯坦堡","2025-02-27 08:10:00","1430","上海,","160,","3870","1657",,,,"HKG","","T1","IST","",,"4","P1,Z",,,,"香港:9C8716,上海:MU703,","trip",
"16/2/2025 21:02:10.598","1891110825509867522","26/2/2025 00:00:00","HKG","香港","2025-02-26 14:50:00","IST","伊斯坦堡","2025-02-27 06:05:00","1215","吉隆坡,","245,","16213","1454",,,,"HKG","","T1","IST","",,"4","H,H",,,,"香港:MH073,吉隆坡:MH4271,","trip",
"16/2/2025 21:02:10.598","1891110825509867523","26/2/2025 00:00:00","HKG","香港","2025-02-26 13:35:00","IST","伊斯坦堡","2025-02-27 08:10:00","1415","上海,","160,","4352","1731",,,,"HKG","","T1","IST","",,"9","Q,Z",,,,"香港:CX360,上海:MU703,","trip",
"16/2/2025 21:02:10.599","1891110825509867524","26/2/2025 00:00:00","HKG","香港","2025-02-26 10:30:00","IST","伊斯坦堡","2025-02-27 06:20:00","1490","北京,","210,","3724","1964",,,,"HKG","","T1","IST","",,"9","P,V",,,,"香港:CA108,北京:TK089,","trip",
